City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jiagedaqi,50.4167,124.1167,21.2,43,73,1.25,CN,1693969213
1,puerto natales,-51.7236,-72.4875,-1.59,85,64,2.26,CL,1693968964
2,sitka,57.0531,-135.33,13.35,82,62,1.23,US,1693969214
3,balkashino,52.5167,68.7667,8.93,75,99,4.56,KZ,1693969214
4,edinburgh of the seven seas,-37.0676,-12.3116,14.37,85,100,15.3,SH,1693969215
5,santa elena de uairen,4.6167,-61.1333,21.64,62,91,1.91,VE,1693969216
6,port mathurin,-19.6833,63.4167,22.84,72,53,7.94,MU,1693969216
7,waitangi,-43.9535,-176.5597,13.23,81,100,3.58,NZ,1693969217
8,port-aux-francais,-49.35,70.2167,2.99,82,98,13.28,TF,1693969218
9,grytviken,-54.2811,-36.5092,-8.24,89,85,7.24,GS,1693969218
10,cidreira,-30.1811,-50.2056,9.98,90,0,0.5,BR,1693969219
11,saipan,15.1355,145.701,30.39,79,75,4.63,MP,1693969219
12,albany,42.6001,-73.9662,24.4,95,100,2.29,US,1693969220
13,naranjal,-2.6667,-79.6167,22.71,86,15,2.2,EC,1693969222
14,chandler,33.3062,-111.8412,36.49,19,0,2.06,US,1693968686
15,sarkand,45.41,79.9186,19.02,28,7,1.36,KZ,1693969223
16,port moresby,-9.4431,147.1797,28.68,70,75,7.72,PG,1693969223
17,novodvinsk,64.4165,40.8122,9.71,97,100,2.31,RU,1693969224
18,stanley,54.868,-1.6985,15.29,94,100,1.03,GB,1693969224
19,puerto ayora,-0.7393,-90.3518,23.64,91,42,3.13,EC,1693969224
20,longyearbyen,78.2186,15.6401,3.91,100,75,0.0,SJ,1693969225
21,montepuez,-13.1256,38.9997,17.83,97,21,1.12,MZ,1693969225
22,carnarvon,-24.8667,113.6333,19.7,61,14,9.43,AU,1693969227
23,hermanus,-34.4187,19.2345,7.56,85,0,4.04,ZA,1693969227
24,tura,25.5198,90.2201,29.36,73,94,1.25,IN,1693969228
25,adamstown,-25.066,-130.1015,18.19,77,100,8.88,PN,1693969229
26,lincoln,40.8,-96.667,19.08,70,0,3.13,US,1693969120
27,mount pearl,47.5166,-52.7813,15.08,97,20,1.03,CA,1693969229
28,igarka,67.4667,86.5833,9.27,53,0,2.66,RU,1693969231
29,invercargill,-46.4,168.35,16.01,63,100,2.41,NZ,1693968642
30,houghton,47.1219,-88.569,22.08,88,100,8.75,US,1693969233
31,kudahuvadhoo,2.6708,72.8944,27.84,75,94,4.32,MV,1693969234
32,saint-pierre,-21.3393,55.4781,19.82,45,0,4.12,RE,1693969235
33,bethel,41.3712,-73.414,26.08,86,0,1.54,US,1693969110
34,bandon,51.7469,-8.7425,17.77,95,76,3.16,IE,1693969236
35,xining,36.6167,101.7667,21.77,51,4,0.81,CN,1693969237
36,nogliki,51.8333,143.1667,14.73,80,100,3.86,RU,1693969238
37,belyy yar,53.6039,91.3903,12.94,82,0,2.0,RU,1693969238
38,badger,64.8,-147.5333,15.07,82,100,1.54,US,1693969239
39,ulubey,40.8721,37.7588,18.13,88,96,1.1,TR,1693969239
40,port lincoln,-34.7333,135.8667,22.46,31,0,9.69,AU,1693969239
41,hawaiian paradise park,19.5933,-154.9731,27.8,75,99,2.93,US,1693969239
42,quellon,-43.1167,-73.6167,9.14,87,100,5.66,CL,1693969240
43,ponta delgada,37.7333,-25.6667,21.4,83,75,6.17,PT,1693969244
44,isafjordur,66.0755,-23.124,11.75,87,100,3.38,IS,1693969245
45,hood river,45.7054,-121.5215,21.59,58,0,2.68,US,1693969236
46,soe,-9.8607,124.284,29.16,28,4,2.05,ID,1693969245
47,jamestown,42.097,-79.2353,22.8,88,0,0.0,US,1693969242
48,bikenibeu village,1.3673,173.1241,31.98,66,20,2.57,KI,1693969246
49,medina,24.4686,39.6142,32.24,7,0,3.09,SA,1693969217
50,caleta olivia,-46.4393,-67.5281,6.59,85,98,9.99,AR,1693969246
51,port-vila,-17.7338,168.3219,25.78,73,100,7.2,VU,1693969247
52,ilulissat,69.2167,-51.1,5.01,100,100,2.06,GL,1693969247
53,ushuaia,-54.8,-68.3,-0.19,59,20,1.03,AR,1693969247
54,filiatra,37.15,21.5833,20.94,66,50,3.38,GR,1693969248
55,crane,31.3974,-102.3501,31.99,25,2,3.31,US,1693969248
56,sandnessjoen,66.0217,12.6316,11.29,71,100,7.66,NO,1693969248
57,polyarnyy,69.1989,33.4478,6.0,86,100,5.09,RU,1693969249
58,bengkulu,-3.8004,102.2655,28.17,61,90,3.23,ID,1693969249
59,san antonio de pale,-1.4014,5.6325,23.0,86,100,5.31,GQ,1693969249
60,wailua homesteads,22.0669,-159.378,28.24,79,61,2.24,US,1693969249
61,iwaki,37.05,140.8833,29.51,97,100,0.89,JP,1693969250
62,port elizabeth,-33.918,25.5701,11.16,62,0,5.66,ZA,1693969216
63,thompson,55.7435,-97.8558,8.09,87,75,1.54,CA,1693969250
64,acarau,-2.8856,-40.12,26.63,83,13,11.03,BR,1693969250
65,coquimbo,-29.9533,-71.3436,12.85,100,75,3.6,CL,1693968797
66,klyuchi,52.2667,79.1667,11.77,57,100,3.74,RU,1693969251
67,talnakh,69.4865,88.3972,5.67,57,11,1.03,RU,1693969251
68,olyokminsk,60.3736,120.4264,7.64,55,100,3.77,RU,1693969251
69,olonkinbyen,70.9221,-8.7187,6.61,85,100,10.25,SJ,1693969251
